seq,rank,name,industry,headquarters,country,ceo,founded,employees,revenue($M),profits($M),assets($M),mkt_value($M),forbes_webpage
1432,1432,Epiroc,Capital Goods,Nacka,Sweden,Helena Hedblom,1873,"15,529","4,620",822,"5,370","26,070",epiroc
1433,1432,Suntory Beverage & Food,"Food, Drink & Tobacco",Tokyo,Japan,Saburo Kogo,1899,"23,866","11,550",625,"14,560","11,910",suntory-beverage-food
1434,1434,Mettler-Toledo International,Conglomerates,"Columbus, Ohio",United States,Patrick K. Kaltenbach,1991,"17,800","3,720",769,"3,330","29,210",mettler-toledo-international
1435,1435,Wendel,Diversified Financials,Paris,France,André François-Poncet,1704,"124,118","8,870","1,240","16,130","4,510",wendel
1436,1436,Osaka Gas,Oil & Gas Operations,Osaka,Japan,Zheng Hai Zhang,1897,"20,941","13,150",619,"22,270","6,910",osaka-gas
1437,1437,Thor Industries,Consumer Durables,"Elkhart, Indiana",United States,Robert W. Martin,1980,"31,000","14,880",922,"7,670","4,250",thor-industries
1438,1438,Williams-Sonoma,Retail and Wholesale,"San Francisco, California",United States,Laura Alber,1956,"21,000","8,250","1,130","4,630","9,680",williams-sonoma
1439,1439,Xiamen Xiangyu,Transportation,Xiamen,China,Qi Dong Deng,na,"7,034","71,650",335,"15,040","2,930",xiamen-xiangyu
1440,1440,Rivian,Automotive,"Irvine, California",United States,Robert Joseph Scaringe,2009,"10,422",55,"-4,690","22,290","30,270",rivian
1441,1441,KION Group,Transportation and Logistics,Frankfurt am Main,Germany,Richard Robinson Smith,2006,"40,000","12,170",671,"19,170","8,190",kion-group
1442,1441,Sino-Ocean Group Holding,Construction,Beijing,China,Ming Li,1993,"14,890","10,330",423,"44,130","1,520",sino-ocean-group-holding
1443,1443,Olin,Chemicals,"Clayton, Missouri",United States,Scott McDougald Sutton,1892,"7,750","8,910","1,300","8,520","8,460",olin
1444,1444,Kimco Realty,Diversified Financials,"Jericho, New York",United States,Conor C. Flynn,1973,606,"1,360",838,"18,460","15,720",kimco-realty
1445,1445,Bank of Chongqing,Banking,Chongqing,China,Jun Lin,1996,"4,401","3,920",640,"94,820","2,040",bank-of-chongqing
1446,1445,Fortinet,Technology Hardware & Equipment,"Sunnyvale, California",United States,Ken Xie,2000,"10,195","3,340",606,"5,920","48,930",fortinet
1447,1447,Church & Dwight,Packaged Goods,"Ewing, New Jersey",United States,Matthew T. Farrell,1846,"5,100","5,190",827,"8,000","24,950",church-dwight
1448,1448,Wistron,Technology Hardware & Equipment,Hsinchu,Taiwan,Po Tuan Huang,2001,"82,955","30,860",374,"17,970","2,830",wistron
1449,1449,ServiceNow,IT Software & Services,"Santa Clara, California",United States,William R. McDermott,2004,"16,881","5,890",230,"10,800","94,280",servicenow
1450,1450,Align Technology,Health Care Equipment & Services,"Tempe, Arizona",United States,Joseph M. Hogan,1997,"22,540","3,950",772,"5,940","28,410",align-technology
1451,1451,Mohawk Industries,Consumer Durables,"Calhoun, Georgia",United States,Jeffrey Lorberbaum,1878,"43,000","11,200","1,030","14,220","7,880",mohawk-industries
1452,1452,SS&C Technologies,IT Software & Services,"Windsor, Connecticut",United States,William Charles Stone,1986,"24,900","5,050",800,"17,330","17,520",ssc-technologies
1453,1453,Adani Enterprises,Conglomerate,Ahmedabad,India,Rajesh Shantilal Adani,1988,"23,000","7,860",95,"11,090","32,700",adani-enterprises
1454,1454,Advance Auto Parts,Retailing,"Roanoke, Virginia",United States,Thomas R. Greco,1932,"41,000","11,000",616,"12,190","13,340",advance-auto-parts
1455,1455,West Japan Railway,Transportation,Osaka,Japan,Seiji Manabe,1987,"47,984","8,950","-1,140","32,350","9,420",west-japan-railway
1456,1456,Franco-Nevada,Materials,Toronto,Canada,Paul J. Brink,1983,40,"1,300",733,"6,210","30,370",franco-nevada
1457,1457,Unicharm,Household & Personal Products,Tokyo,Japan,", Eiko Hashiba",1961,"16,308","7,120",662,"8,580","20,270",unicharm
1458,1458,XP,IT Software & Services,Vila Olímpia,Brazil,Thiago Maffra,2001,na,"2,310",665,"25,020","14,290",xp
1459,1459,Duke Realty,Diversified Financials,"Indianapolis, Indiana",United States,James B. Connor,1972,340,"1,110",851,"10,450","22,920",duke-realty
1460,1460,Valeo,Consumer Durables,Paris,France,Jacques Aschenbroich,1923,"103,300","20,400",206,"21,420","4,490",valeo
1461,1461,AVIC Capita,Diversified Financials,Beijing,China,Jiang Tao Yao,1992,"4,995","3,420",693,"71,690","5,460",avic-capita
1462,1462,Ahli United Bank,Banking,Manama,Bahrain,Adel Mohamed Abdul Shafe El-Labban,2000,"3,901","1,560",567,"41,910","11,430",ahli-united-bank
1463,1462,UGI,Oil & Gas Operations,"King of Prussia, Pennsylvania",United States,Roger Perreault,1882,"5,800","8,710","1,070","16,800","7,680",ugi
1464,1464,Teradyne,Semiconductors,"North Reading, Massachusetts",United States,Mark E. Jagiela,1960,"5,900","3,700","1,020","3,810","17,650",teradyne
1465,1465,Avery Dennison,Materials,"Glendale, California",United States,Mitchell R. Butier,1990,"36,000","8,410",740,"7,970","13,790",avery-dennison
1466,1466,SGS,Business Services & Supplies,Geneva,Switzerland,Frankie Ng,1878,"96,216","7,010",670,"7,690","19,870",sgs
1467,1467,Covivio,Diversified Financials,Paris,France,Christophe Joseph Kullmann,1963,984,"1,250","1,090","32,190","7,420",covivio
1468,1468,First Citizens Bank (NC),Banking,"Raleigh, North Carolina",United States,"Frank B. Holding, Jr.",1898,"6,846","1,960",547,"58,310","10,050",first-citizens-bank-nc
1469,1468,Ningxia Baofeng Energy Group,Materials,Yinchuan,China,Yuan Guan Liu,2005,"14,211","3,810","1,100","7,380","16,050",ningxia-baofeng-energy-group
1470,1470,Metalurgica Gerdau,Materials,Porto Alegre,Brazil,Gustavo Werneck da Cunha,1901,na,"14,520",904,"13,390","2,600",metalurgica-gerdau
1471,1471,Charoen Pokphand Foods,"Food, Drink & Tobacco",Bangkok,Thailand,Prasit Boondoungprasert,1921,"360,000","16,010",388,"25,230","5,920",charoen-pokphand-foods
1472,1472,IndusInd Bank,Banking,Mumbai,India,Sumant Kathpalia,1994,"29,661","5,090",585,"51,260","9,720",indusind-bank
1473,1473,Orient Securities,Diversified Financials,Shanghai,China,Xin Jun Pan,1997,"7,835","3,250",796,"51,240","4,100",orient-securities
1474,1474,Brookfield Renewable,Utilities,"New York, New York",United States,Connor David Teskey,na,na,"3,370",899,"41,990","6,400",brookfield-renewable
1475,1474,Verisk Analytics,Insurance,"Jersey City, New Jersey",United States,Scott G. Stephenson,1971,"9,367","3,000",666,"7,810","33,430",verisk-analytics
1476,1476,Ventas,Diversified Financials,"Chicago, Illinois",United States,Debra A. Cafaro,1983,434,"3,830",49,"24,720","23,370",ventas
1477,1477,Cooper Companies,Health Care Equipment & Services,"San Ramon, California",United States,Albert George White III,na,"12,000","3,030",938,"11,660","19,270",cooper-companies
1478,1478,Erdemir,Materials,Istanbul,Turkey,Salih Cem Oral,1960,"12,788","7,640","1,740","9,520","8,040",erdemir
1479,1479,Gartner,na,"Stamford, Connecticut",United States,Eugene A. Hall,1979,"16,600","4,730",793,"7,420","24,140",gartner
1480,1480,SLM,Business Services & Supplies,"Newark, Delaware",United States,Jonathan W. Witter,1972,"1,450","2,340","1,160","29,220","4,670",slm
1481,1481,Atmos Energy,Utilities,"Dallas, Texas",United States,Kevin Akers,1906,"4,684","3,510",696,"20,550","16,080",atmos-energy
1482,1482,BCI-Banco Credito,Banking,Santiago,Chile,Eugenio von Chrismar Carvajal,1937,"10,560","3,550",649,"79,320","5,070",bci-banco-credito
1483,1483,Lotte Shopping,Retailing,Seoul,South Korea,Sung-Hyun Kang,1970,"21,042","13,600",-255,"28,120","2,230",lotte-shopping
1484,1484,China CSSC Holdings,Capital Goods,Shanghai,China,Jun Ji,na,"20,284","8,460",83,"25,040","11,600",china-cssc-holdings
1485,1485,Synovus,Banking,"Columbus, Georgia",United States,Kevin S. Blair,1888,"4,988","2,110",744,"56,420","6,450",synovus
1486,1486,Iida Group Holdings,Construction,Tokyo,Japan,Kazuhiko Mori,2013,"10,134","12,620",976,"13,680","4,740",iida-group-holdings
1487,1487,Thai Beverage,"Food, Drink & Tobacco",Bangkok,Thailand,Thapana Sirivadhanabhakdi,2003,na,"7,710",791,"14,010","13,020",thai-beverage
1488,1488,Equifax,Business Services & Supplies,"Atlanta, Georgia",United States,Mark Begor,1899,"12,700","5,070",764,"11,390","25,020",equifax
1489,1488,Kingspan Group PLC,Construction,Kingscourt,Ireland,Gene M. Murtagh,na,"19,000","7,680",654,"7,260","17,530",kingspan-group
1490,1490,Newcrest Mining,Materials,Melbourne,Australia,Sandeep Biswas,1966,930,"4,100",900,"14,450","18,290",newcrest-mining
1491,1491,Kerry Properties,Construction,Hong Kong,Hong Kong,Khoon Hua Kuok,1978,"7,600","2,070","1,330","25,660","3,880",kerry-properties
1492,1492,Globe Life,Insurance,"Birmingham, Alabama",United States,Gary L. Coleman Larry M. Hutchison,1900,"3,222","5,160",730,"29,770","10,260",globe-life
1493,1493,Bank of Jinzhou,Banking,Jinzhou,China,Hong Guang Cai,1998,"6,012","6,160",197,"133,310","2,050",bank-of-jinzhou
1494,1494,Bank of East Asia,Banking,Hong Kong,Hong Kong,"Man Bun Li, Man Kiu Li",1918,"8,824","3,070",573,"116,400","4,040",bank-of-east-asia
1495,1495,Marfrig Global Foods,"Food, Drink & Tobacco",São Paulo,Brazil,Miguel de Souza Gularte,1986,"31,779","15,820",804,"8,620","2,620",marfrig-global-foods
1496,1496,Vipshop Holdings,Retailing,Guangzhou,China,Ya Shen,2008,"7,567","18,160",728,"9,770","4,250",vipshop-holdings
1497,1497,Acciona,Construction,Alcobendas,Spain,José Manuel Entrecanales Domecq,1997,"40,000","9,580",392,"22,290","11,120",acciona
1498,1498,Hilton,Travel & Leisure,"McLean, Virginia",United States,Chris Nassetta,1919,"360,000","5,810",410,"15,440","42,820",hilton
1499,1498,Sinotruk Hong Kong,Capital Goods,Jinan,China,Bozhi Wang,2007,"28,502","14,450",668,"16,790","3,290",sinotruk-hong-kong
1500,1500,BorgWarner,Automotive (Automotive and Suppliers),"Auburn Hills, Michigan",United States,Frédéric B. Lissdale,1928,"49,300","14,840",537,"16,570","9,090",borgwarner
1501,1501,Nu Holdings,IT Software & Services,George Town,Cayman Islands,David Vélez Osorno,2016,"6,075","1,400",-165,"19,860","30,790",nu-holdings
1502,1502,Adient,Consumer Durables,"Plymouth, Michigan",United States,Douglas G. Del Grosso,1985,"75,000","13,310",904,"10,720","3,210",adient
1503,1503,Unibail-Rodamco,Construction,Paris,France,Jean-Marie Tritant,2007,"2,012","2,980","-1,150","62,450","10,450",unibail-rodamco
1504,1504,Zebra Technologies,Technology Hardware & Equipment,"Lincolnshire, Illinois",United States,Anders Gustafsson,1969,"9,800","5,620",837,"6,210","20,060",zebra-technologies
1505,1505,VeriSign,IT Software & Services,"Reston, Virginia",United States,D. James Bidzos,1995,904,"1,330",784,"1,980","22,590",verisign
1506,1506,KakaoBank,Banking,Seongnam-si,South Korea,Ho-Young Yoon,2016,913,929,178,"30,320","16,750",kakaobank
1507,1507,Hyundai Glovis,Transportation,Seoul,South Korea,Jung-Hoon Kim,2001,"1,631","19,020",683,"10,240","5,990",hyundai-glovis
1508,1508,A2A,Utilities,Brescia,Italy,Renato Mazzoncini,2008,"12,000","13,420",595,"20,480","5,330",a2a
1509,1509,JM Smucker,"Food, Soft Beverages, Alcohol & Tobacco","Orrville, Ohio",United States,Mark Smucker,1897,"71,000","7,880",574,"15,970","15,430",jm-smucker
1510,1510,Incyte,Drugs & Biotechnology,"Wilmington, Delaware",United States,Herve Hoppenot,1991,"2,094","2,990",948,"4,970","16,950",incyte
1511,1511,Geberit,Construction,Rapperswil-Jona,Switzerland,Christian Buhl,1874,"11,809","3,790",826,"4,140","20,480",geberit
1512,1511,Zhongyuan Bank,Banking,Zhengzhou,China,Dou Rongxing,2014,"13,503","5,430",552,"120,540","2,070",zhongyuan-bank
1513,1513,Performance Food Group,"Food, Drink and Tobacco","Richmond, Virginia",United States,George L. Holm,1885,"35,000","39,730",36,"12,220","8,130",performance-food-group
1514,1514,Advanced Info Service,"Telecommunications Services, Cable Supplier",Bangkok,Thailand,Somchai Lertsutiwong,1983,"14,103","5,660",840,"10,680","19,090",advanced-info-service
1515,1515,Martin Marietta Materials,Construction,"Raleigh, North Carolina",United States,C. Howard Nye,1993,"10,000","5,410",707,"14,740","22,140",martin-marietta-materials
1516,1516,Boston Properties,Diversified Financials,"Boston, Massachusetts",United States,Owen D. Thomas,1970,743,"2,890",505,"22,360","21,770",boston-properties
1517,1516,KGHM Polska Miedz,Materials,Lubin,Poland,Marcin Chludzinski,1961,"34,286","8,020","1,590","11,620","6,990",kghm-polska-miedz
1518,1518,Agility,Transportation,Kuwait City,Kuwait,Tarek Abdulaziz Sultan Al-Essa,na,na,"2,860","3,240","9,610","8,500",agility
1519,1518,Fukuoka Financial Group,Banking,Fukuoka,Japan,Masaaki Tani,2007,"8,103","2,530",483,"251,690","3,630",fukuoka-financial-group
1520,1520,Wharf (Holdings),Conglomerates,Hong Kong,Hong Kong,Tin Hoi Ng,1886,"6,200","2,880",774,"32,540","8,800",wharf-holdings
1521,1521,Amerco,Business Services & Supplies,"Reno, Nevada",United States,Edward J. Shoen,1945,"32,200","5,600","1,110","16,590","10,730",amerco
1522,1522,Gecina,Diversified Financials,Paris,France,Beñat Ortega,1959,487,901,"1,000","23,240","8,820",gecina
1523,1522,Mondi,Materials,Surrey,United Kingdom,Andrew King,2007,"26,500","9,130",893,"10,530","9,390",mondi
1524,1524,Halyk Bank,Banking,Almaty,Kazakhstan,Umut Bolatkhanovna Shayakhmetova,1923,"17,038","2,930","1,080","27,810","2,970",halyk-bank
1525,1525,Bank of India,Banking,Mumbai,India,Atanu Kumar Das,1906,"51,459","6,260",390,"98,510","2,660",bank-of-india
1526,1525,RHB Bank,Banking,Kuala Lumpur,Malaysia,Khairussaleh bin Ramli,1997,"14,000","2,570",631,"69,500","5,720",rhb-bank
1527,1527,Commercial Bank of Qatar,Banking,Doha,Qatar,Joseph Abraham,1975,na,"2,180",660,"47,080","8,340",commercial-bank-of-qatar
1528,1528,Virgin Money UK,Banking,Glasgow,United Kingdom,David Joseph Duffy,2015,"7,857","2,820",540,"120,140","3,240",virgin-money-uk
1529,1529,Las Vegas Sands,"Hotels, Restaurants & Leisure","Las Vegas, Nevada",United States,Robert Glen Goldstein,1988,"44,700","4,230",-961,"20,060","27,810",las-vegas-sands
1530,1529,US Foods,"Food, Soft Beverages, Alcohol & Tobacco","Rosemont, Illinois",United States,Andrew Iacobucci,1989,"28,000","29,490",164,"12,520","8,520",us-foods
1531,1531,FleetCor Technologies,Business Services & Supplies,"Atlanta, Georgia",United States,Ronald F. Clarke,1985,"9,700","2,830",839,"13,400","19,510",fleetcor-technologies
1532,1531,Nitori Holdings,Retailing,Tokyo,Japan,Akio Nitori,1972,"10,366","7,280",867,"8,540","12,050",nitori-holdings
1533,1531,Sonova Holding,Health Care Equipment & Services,Stäfa,Switzerland,Arnd Kaldowski,1985,"14,508","3,450",738,"6,150","23,160",sonova-holding
1534,1534,Keppel,Conglomerates,Singapore,Singapore,Chin Hua Loh,1968,"16,393","6,420",761,"23,980","9,040",keppel
1535,1535,Crown Holdings,"Engineering, Manufacturing","Philadelphia, Pennsylvania",United States,Timothy Joseph Donahue,1892,"33,000","11,930",-551,"13,860","14,750",crown-holdings
1536,1535,Rexel,Retail and Wholesale,Paris,France,Guillaume Jean Philippe,1967,"26,000","17,360",705,"13,140","6,730",rexel
1537,1537,Alliant Energy,Utilities,"Madison, Wisconsin",United States,John O. Larsen,1917,"3,313","3,670",674,"19,250","15,830",alliant-energy
1538,1538,SinoPac Financial,Banking,Taipei,Taiwan,Shih Ting Chu,2002,"9,548","2,110",580,"86,120","7,170",sinopac-financial
1539,1539,B3,Diversified Financials,São Paulo,Brazil,Gilson Finkelsztain,1890,"2,135","1,710",874,"9,630","18,370",b3
1540,1540,Shiseido,Packaged Goods,Tokyo,Japan,Masahiko Uotani,1872,"42,000","9,420",386,"10,240","19,140",shiseido
1541,1541,China Nuclear Engineering Corporation,Construction,Beijing,China,Xiong Biao Dai,2010,"37,216","12,850",222,"26,260","3,420",china-nuclear-engineering-corporation
1542,1542,Ingersoll Rand,Capital Goods,"Davidson, North Carolina",United States,Vicente Reynal,1872,"16,000","5,390",757,"15,150","18,740",ingersoll-rand
1543,1542,Mebuki Financial Group,Banking,Tokyo,Japan,Satoshi Fujisawa,2008,"6,373","2,040",413,"207,850","2,030",mebuki-financial-group
1544,1544,Concordia Financial Group,Banking,Tokyo,Japan,Kenichi Kawamura,2016,"5,995","2,660",360,"203,710","4,540",concordia-financial-group
1545,1545,WEG,Capital Goods,Jaraguá do Sul,Brazil,Harry Schmelzer,1961,"36,987","4,370",664,"4,300","27,680",weg
1546,1546,Wheaton Precious Metals,Materials,Vancouver,Canada,Randy Vernon Joseph,2004,44,"1,200",755,"6,300","21,710",wheaton-precious-metals
1547,1547,Aroundtown,Construction,Luxembourg,Luxembourg,Barak Bar-Hen,2017,"1,631","1,560",759,"44,790","5,890",aroundtown
1548,1548,Medipal Holdings,Drugs & Biotechnology,Tokyo,Japan,", Noriaki Horikiri",1923,"12,971","29,850",331,"15,440","3,350",medipal-holdings
1549,1549,Phosagro,Chemicals,Moscow,Russia,Mikhail Konstantinovich Rybnikov,2001,na,"4,710","1,350","5,620","11,720",phosagro
1550,1550,Huafa Industrial,Construction,Zhuhai,China,Yin Chen,na,"8,735","7,420",495,"55,710","2,340",huafa-industrial
1551,1550,Tongkun Group,Materials,Tongxiang,China,Jin Xiang Xu,1982,"19,371","9,710","1,110","10,050","5,690",tongkun-group
1552,1552,Scentre Group,Diversified Financials,Sydney,Australia,Peter Kenneth Allen,na,"2,700","1,710",666,"26,670","11,020",scentre-group
1553,1553,NIPPON EXPRESS HOLDINGS,Transportation,Tokyo,Japan,na,na,"72,366","20,640",591,"14,240","5,390",nippon-express-holdings
1554,1553,Taisei,Construction,Tokyo,Japan,Takashi Yamauchi,1873,"14,620","13,750",691,"15,510","5,470",taisei
1555,1555,Kumho Petrochemical,Chemicals,Seoul,South Korea,Chan-Koo Park,1970,"1,401","7,390","1,720","6,830","3,450",kumho-petrochemical
1556,1556,Globalfoundries,Semiconductors,"Santa Clara, California",United States,Thomas Caulfield,2009,na,"6,580",-254,"15,030","27,130",globalfoundries
1557,1557,Atlassian,IT Software & Services,Sydney,Australia,"Michael Cannon, Scott Farquhar",2013,"6,433","2,430",-530,"2,760","62,180",atlassian
1558,1558,All Nippon Airways,Transportation,Tokyo,Japan,Shinya Katanozaka,1920,"46,580","8,550","-1,800","28,130","9,130",all-nippon-airways
1559,1559,Chiba Bank,Banking,Chiba,Japan,Hidetoshi Sakuma,1943,"4,380","1,940",495,"160,780","4,460",chiba-bank
1560,1560,Vietin Bank,Banking,Ha Noi,Vietnam,Binh Minh Tran,1988,"25,154","4,410",612,"67,200","6,150",vietin-bank
1561,1561,EQT,Oil & Gas Operations,"Pittsburgh, Pennsylvania",United States,Toby Z. Rice,1888,693,"6,840","-1,160","21,610","14,960",eqt
1562,1562,West Pharmaceutical Services,Drugs & Biotechnology,"Exton, Pennsylvania",United States,Eric Mark Green,na,"10,065","2,830",661,"3,310","25,980",west-pharmaceutical-services
1563,1563,China Everbright International,Business Services & Supplies,Hong Kong,Hong Kong,Zu Sheng Luan,1961,"11,330","6,420",875,"25,680","3,650",china-everbright-international
1564,1563,Hoa Phat Group,Materials,Hung Yen,Vietnam,Duong Tuan Tran,1992,"27,651","6,530","1,500","7,820","8,530",hoa-phat-group
1565,1565,Nine Dragons Paper Holdings,Materials,Hong Kong,Hong Kong,Ming Chung Liu,2005,"19,576","10,190",910,"15,120","4,120",nine-dragons-paper-holdings
1566,1566,Adani Ports & Special Economic Zone,Transportation,Ahmedabad,India,Karan Gautambhai Adani,1998,"2,863","2,100",678,"11,360","24,120",adani-ports-special-economic-zone
1567,1566,Bank of Guizhou,Banking,Guiyang,China,na,2012,"5,255","3,640",574,"79,060","4,740",bank-of-guizhou
1568,1568,New Residential Investment,Diversified Financials,"New York, New York",United States,Michael Nierenberg,2011,"12,296","3,010",772,"39,960","4,840",new-residential-investment
1569,1569,Kingdom Holding,Diversified Financials,Riyadh,Saudi Arabia,Talal bin Ibrahim Al-Maiman,1996,na,477,"1,830","13,540","9,560",kingdom-holding
1570,1570,Adani Green Energy,Utilities,Ahmedabad,India,na,2015,"2,343",419,14,"3,930","59,060",adani-green-energy
1571,1571,Fortive,Technology Hardware & Equipment,"Everett, Washington",United States,James A. Lico,2015,"18,000","5,250",606,"16,470","20,750",fortive
1572,1571,Rocket Companies,Business Services & Supplies,"Detroit, Michigan",United States,Jay Farner,1985,na,"10,000",308,"32,770","1,050",rocket-companies
1573,1573,Banca MPS,Banking,Siena,Italy,Luigi Lovaglio,1472,"21,244","3,860",365,"156,780",892,banca-mps
1574,1573,Knorr-Bremse,Consumer Durables,Munich,Germany,Frank Markus Weber,1905,"30,544","7,930",734,"8,470","12,120",knorr-bremse
1575,1575,HNA Technology,Transportation,Tianjin,China,Hai Hong Gui,na,"36,992","41,810","-1,570","1,620","1,210",hna-technology
1576,1575,Oriental Land,Media,Urayasu,Japan,Toshio Kagami,1960,"8,782","2,040",-242,"9,480","57,490",oriental-land
1577,1577,News Corp,Media,"New York, New York",United States,Robert James Thomson,1922,"24,000","10,050",496,"16,520","12,290",news-corp
1578,1578,China Resources Gas Group,Oil & Gas Operations,Hong Kong,Hong Kong,Ping Yang,1905,"52,354","10,060",822,"13,610","8,790",china-resources-gas-group
1579,1579,Momentum Metropolitan Holdings,Diversified Financials,Centurion,South Africa,Hilgard Pieter Meyer,1989,"16,483","9,040",16,"36,530","1,540",momentum-metropolitan-holdings
1580,1579,Royalty Pharma,Drugs & Biotechnology,"New York, New York",United States,Pablo Gerardo Legorreta,2020,66,"2,290",619,"17,520","18,480",royalty-pharma
1581,1581,Avantor,Chemicals,"Radnor, Pennsylvania",United States,Michael Stubblefield,1904,"13,500","7,390",572,"13,900","18,320",avantor
1582,1581,OneMain Holdings,Business Services & Supplies,"Evansville, Indiana",United States,Douglas H. Shulman,2013,"8,800","4,970","1,310","22,080","6,000",onemain-holdings
1583,1583,Vulcan Materials,Construction,"Birmingham, Alabama",United States,J. Thomas Hill,1909,"11,437","5,550",670,"13,920","22,740",vulcan-materials
1584,1584,Hokuhoku Financial Group,Banking,Toyama,Japan,Eishin Ihori,2003,"4,943","1,610",218,"150,220",877,hokuhoku-financial-group
1585,1585,Kiwoom Securities,Diversified Financials,Seoul,South Korea,Hyun-Soon Hwang,2000,941,"2,000",789,"38,110","2,000",kiwoom-securities
1586,1586,Palo Alto Networks,Technology Hardware & Equipment,"Santa Clara, California",United States,Nikesh Arora,2005,"10,473","4,860",-461,"10,400","56,290",palo-alto-networks
1587,1587,Chugoku Electric Power,Utilities,Hiroshima,Japan,Tomohide Karita,1951,"13,050","10,300",-317,"30,790","2,440",chugoku-electric-power
1588,1588,DXC Technology,na,"Ashburn, Virginia",United States,Mike Salvino,2017,"130,000","16,640",-610,"19,950","7,200",dxc-technology
1589,1588,Metro Group,Food Markets,Dusseldorf,Germany,Steffen Greubel,2008,"92,694","30,770",47,"14,480","3,270",metro-group
1590,1588,Shionogi,Drugs & Biotechnology,Osaka,Japan,Motozo Shiono,1919,"5,485","2,660",880,"9,020","16,320",shionogi
1591,1591,Snowflake,IT Software & Services,"Bozeman, Montana",United States,Frank Slootman,2012,"3,992","1,220",-679,"6,650","54,680",snowflake
1592,1592,Owens Corning,Construction,"Toledo, Ohio",United States,Brian D. Chambers,1938,"20,000","8,500",995,"10,020","8,460",owens-corning
1593,1593,Harel Insurance Investments & Financial Services,Insurance,Ramat Gan,Israel,Michel Siboni,1982,"4,635","8,480",320,"38,770","2,740",harel-insurance-investments-financial-services
1594,1593,Inner Mongolia Yitai Coal,Materials,Ordos,China,Jian Liu,1997,"5,241","7,490","1,340","14,510","4,170",inner-mongolia-yitai-coal
1595,1593,NH Investment & Securities,Diversified Financials,Seoul,South Korea,Young-Chae Jeong,na,"3,044","5,110",665,"49,250","3,080",nh-investment-securities
1596,1596,Quilter,Diversified Financials,London,United Kingdom,Paul W. Feeney,2007,"4,343","6,450",88,"68,720","2,720",quilter
1597,1597,HF Sinclair,Oil & Gas Operations,"Dallas, Texas",United States,Michael C. Jennings,1947,"4,208","18,410",551,"13,170","8,470",hf-sinclair
1598,1597,Korea Shipbuilding & Offshore Engineering,Capital Goods,Seoul,South Korea,Sam-Hyeon Gah,1973,649,"13,540",-811,"22,960","5,500",korea-shipbuilding-offshore-engineering
1599,1599,Samsung Electro-Mechanics,Technology Hardware & Equipment,Suwon-si,South Korea,Duck-Hyun Chang,1973,"11,866","8,450",779,"8,360","10,210",samsung-electro-mechanics
1600,1600,Invitation Homes,Diversified Financials,"Dallas, Texas",United States,Dallas B. Tanner,2012,"1,240","1,850",271,"18,540","26,200",invitation-homes
1601,1601,ZTO Express (Cayman),Transportation,Shanghai,China,Mei Song Lai,2002,na,"4,720",738,"9,850","20,050",zto-express-cayman
1602,1602,Tingyi Holding,"Food, Drink & Tobacco",Shanghai,China,Richard Chen,1991,"62,107","11,490",589,"9,460","10,570",tingyi-holding
1603,1603,Workday,IT Software & Services,"Pleasanton, California",United States,Aneel Bhuri,2005,"15,200","5,150",29,"10,500","51,740",workday
1604,1604,Shizuoka Bank,Banking,Shizuoka,Japan,Hisashi Shibata,1943,"3,288","2,010",431,"127,330","3,800",shizuoka-bank
1605,1605,Check Point Software,IT Software & Services,Tel Aviv,Israel,Gil Shwed,1993,"5,805","2,170",815,"5,940","17,590",check-point-software
1606,1606,Commercial Bank For Investment & Development Of Vietnam,Banking,Ha Noi,Vietnam,Lam Ngoc Le,1957,"27,223","5,370",463,"77,300","8,480",commercial-bank-for-investment-development-of-vietnam
1607,1606,Qorvo,Semiconductors,"Greensboro, North Carolina",United States,Robert A. Bruggeworth,1991,"8,400","4,550","1,120","7,630","12,110",qorvo-inc
1608,1608,Kaspi.kz JSC,Diversified Financials,Almaty,Kazakhstan,Mikhail Lomtadze,2008,na,"2,190","1,010","8,300","13,110",kaspikz-jsc
1609,1608,Stifel Financial,Diversified Financials,"St. Louis, Missouri",United States,Ronald James Kruszewski,1890,"8,600","4,790",824,"34,310","6,880",stifel-financial
1610,1608,YPF,Oil & Gas Operations,Buenos Aires,Argentina,Sergio Pablo Antonio,1977,na,"13,020",2,"23,270","3,310",ypf
1611,1611,Bank Albilad,Banking,Riyadh,Saudi Arabia,Abdul Aziz bin Mohammed Al-Onaizan,2004,"4,291","1,190",475,"31,040","13,630",bank-albilad
1612,1612,Evolution Gaming Group AB,"Hotels, Restaurants & Leisure",Stockholm,Sweden,Martin Olof Carlesund,2006,"13,410","1,260",715,"4,440","20,520",evolution-gaming-group-ab
1613,1613,"LG Innotek Co.,",Technology Hardware & Equipment,Seoul,South Korea,Cheol-Dong Jeong,1976,"12,415","13,050",775,"6,510","7,440",lg-innotek-co
1614,1614,NiSource,Oil & Gas Operations,"Merrillville, Indiana",United States,Lloyd M. Yates,1847,"7,272","4,900",584,"25,260","12,510",nisource
1615,1615,AB Sagax,Construction,Stockholm,Sweden,David Gustaf Mindus,1995,87,377,"1,140","6,940","11,840",ab-sagax
1616,1615,SDIC Capital,Household & Personal Products,Beijing,China,Ying Li,na,"6,975","3,150",743,"38,670","6,760",sdic-capital
1617,1617,Hachijuni Bank,Banking,Nagano,Japan,Shoichi Yumoto,1931,"3,689","1,280",284,"120,900","1,600",hachijuni-bank
